,Cname,Code,year,instances,population,percent
0,Afghanistan,AFG,2000,6532,20093756.0,0.032507610821988685
1,Afghanistan,AFG,2001,8762,20966463.0,0.04179054903061141
2,Afghanistan,AFG,2002,2486,21979923.0,0.011310321696759357
3,Afghanistan,AFG,2003,798,23064851.0,0.003459809907291402
4,Afghanistan,AFG,2004,466,24118979.0,0.0019320884188339814
5,Afghanistan,AFG,2005,1296,25070798.0,0.005169360783809115
6,Afghanistan,AFG,2006,1990,25893450.0,0.007685341273565322
7,Afghanistan,AFG,2007,1141,26616792.0,0.004286767541332555
8,Afghanistan,AFG,2008,1599,27294031.0,0.005858423770384082
9,Afghanistan,AFG,2009,2861,28004331.0,0.010216276903740353
10,Afghanistan,AFG,2010,1989,28803167.0,0.006905490635804042
11,Afghanistan,AFG,2011,3013,29708599.0,0.01014184479045949
12,Afghanistan,AFG,2012,2787,30696958.0,0.009079075522727692
13,Afghanistan,AFG,2013,430,31731688.0,0.0013551122776701951
14,Afghanistan,AFG,2014,492,32758020.0,0.0015019222773537595
15,Afghanistan,AFG,2015,1154,33736494.0,0.0034206281186183723
16,Afghanistan,AFG,2016,638,34656032.0,0.0018409493620042826
17,Albania,ALB,2000,662,16440924.0,0.004026537681215484
18,Albania,ALB,2001,18,16983266.0,0.00010598668124258314
19,Albania,ALB,2002,16,17572649.0,9.105058662470297e-05
20,Albania,ALB,2003,8,18203369.0,4.394790876348219e-05
21,Albania,ALB,2004,7,18865716.0,3.710434313757294e-05
22,Albania,ALB,2005,6,19552542.0,3.0686547048460503e-05
23,Albania,ALB,2006,68,20262399.0,0.00033559698434523967
24,Albania,ALB,2007,22,20997687.0,0.00010477344480846867
25,Albania,ALB,2008,-1,21759420.0,-4.5957107312603e-06
26,Albania,ALB,2009,0,22549547.0,0.0
27,Albania,ALB,2010,10,23369131.0,4.279149276025711e-05
28,Albania,ALB,2011,28,24218565.0,0.00011561378636595521
29,Albania,ALB,2012,9,25096150.0,3.586207446162061e-05
30,Albania,ALB,2013,0,25998340.0,0.0
31,Albania,ALB,2014,-1,26920466.0,-3.714645950036675e-06
32,Albania,ALB,2015,-1,27859305.0,-3.5894649920376694e-06
33,Albania,ALB,2016,17,28813463.0,5.900019723418876e-05
34,Algeria,DZA,2000,-1,3089027.0,-3.237265326589894e-05
35,Algeria,DZA,2001,2686,3060173.0,0.08777281545847244
36,Algeria,DZA,2002,5862,3051010.0,0.19213309690889246
37,Algeria,DZA,2003,15374,3039616.0,0.5057875731671369
38,Algeria,DZA,2004,3289,3026939.0,0.10865762408822907
39,Algeria,DZA,2005,2302,3011487.0,0.07644064211467624
40,Algeria,DZA,2006,944,2992547.0,0.03154503504873942
41,Algeria,DZA,2007,0,2970017.0,0.0
42,Algeria,DZA,2008,217,2947314.0,0.007362635945813714
43,Algeria,DZA,2009,107,2927519.0,0.003654972008721378
44,Algeria,DZA,2010,103,2913021.0,0.0035358481796046097
45,Algeria,DZA,2011,112,2905195.0,0.0038551629064486207
46,Algeria,DZA,2012,18,2900401.0,0.0006206038406413458
47,Algeria,DZA,2013,25,2895092.0,0.0008635304163045596
48,Algeria,DZA,2014,0,2889104.0,0.0
49,Algeria,DZA,2015,63,2880703.0,0.0021869661676333866
